morning_briefing_id,brief_date,source_local_date,timezone,user_id,candidate_model,candidate_prompt_version,bundle_version,state_version,judge_model,judge_prompt_version,rubric_id,rubric_version,overall_score,overall_rationale,judged_at,clarity_easy_to_follow_score,clarity_easy_to_follow_rationale,clarity_right_length_score,clarity_right_length_rationale,clarity_tone_appropriate_score,clarity_tone_appropriate_rationale,relevance_uncertainty_communicated_score,relevance_uncertainty_communicated_rationale,relevance_specific_not_generic_score,relevance_specific_not_generic_rationale,relevance_consistent_with_recent_context_score,relevance_consistent_with_recent_context_rationale,usefulness_concrete_action_score,usefulness_concrete_action_rationale,usefulness_meaningful_understanding_score,usefulness_meaningful_understanding_rationale,usefulness_day_planning_score,usefulness_day_planning_rationale
2a19fb9a-6fa6-4d79-a3b5-68b94666d46d,2026-02-03,2026-02-02,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,3,"The briefing is a mixed bag. It excels in clarity, specificity, and providing a set of excellent, well-justified actions that are highly relevant to the user's data (e.g., addressing low protein, rising sedentary time, and late eating). However, it contains a critical factual error, repeatedly stating that yesterday's stress was 'high' when the data shows it was actually low. This inconsistency damages the credibility of the analysis and prevents the briefing from being fully trustworthy, despite its many strong points.",2026-05-06T19:17:20.493Z,5,"The summary is well-structured with a clear opening, a review of last night and yesterday, an interpretation of key signals, and a concluding focus for the day. It's easy to read.",4,"The message is slightly long but packed with specific data, which justifies the length. It remains readable for a morning briefing.",5,"The tone is encouraging and coach-like, balancing praise for positive outcomes (great sleep) with observations about challenges (low energy, stress signals).",3,"The summary does not communicate the low confidence (0.48) in the nutrition data to the user, presenting the protein intake (70.8g) as a hard fact. This is a missed opportunity to encourage better logging.",5,"The feedback is highly specific, citing exact numbers like '8.2 hours of sleep', '92.8% efficiency', '14k steps', '70.8g' of protein, and a late meal at '~10:25 PM'. This is tailored and not generic.",2,"The summary incorrectly states that yesterday's stress was 'high' and that 'stress stays elevated'. The data for yesterday (Feb 2nd) shows a stress score of 30, which is below the user's baseline of 32.6. This is a significant factual error.",5,"The briefing provides four concrete and realistic actions: a breathing reset, adding a protein snack, taking a short walk, and adjusting evening meal/caffeine timing. All are well-justified by the data.",4,"The summary provides excellent insights into the mismatch between feeling great this morning (93/100) and yesterday's low energy/focus, as well as the paradox of high steps but rising sedentary time. The score is reduced from 5 due to the incorrect analysis of stress.",4,"The actions are highly useful for planning the day. The summary helps frame the day around managing energy and recovery. However, the incorrect information about stress could cause confusion and slightly undermines its overall utility."
67a527d7-2f3d-4ee4-98aa-576f83aa6a7e,2026-02-04,2026-02-03,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,4,"The morning message is excellent, providing specific, data-driven insights with a supportive tone. The analysis of the mismatch between low fuel and high subjective energy is particularly insightful and useful. However, the overall briefing is let down by a significant error in the first generated action, which gives a contradictory caffeine cutoff time in its title ('10pm') versus its description ('10am'). This confusion undermines the actionability and trustworthiness of an otherwise high-quality plan.",2026-05-06T19:17:55.671Z,5,"The summary is well-structured with clear paragraphs for sleep, nutrition/activity, and the day's focus. Bolding key numbers makes it easy to scan.",5,"The message is concise yet packed with specific data and insights, making it an appropriate length for a quick but substantive morning read.",5,The tone is supportive and encouraging while also being direct about areas for improvement. Phrases like 'your body did a great job' and 'a mismatch worth watching' are excellent examples of a coaching tone.,4,"The summary appropriately uses cautious language like 'likely' and 'can'. While it doesn't explicitly state the low confidence in nutrition data (0.52), it smartly addresses it by pointing out the 'mismatch' between low fuel and high mood, which is a good way to handle uncertainty.",5,"The feedback is highly specific, citing exact metrics like '3.87 hours' of sleep, '1298 calories', '66g protein', and 'HRV is strong at 100.143'. All of these are directly supported by the user's data.",5,The summary correctly identifies that the short sleep (3.87h) is a deficit compared to the user's baseline (~6.3h) and that nutrition intake was below baseline. The narrative is consistent with the provided data.,3,"The briefing provides several concrete actions, but the first one, 'Commit to a 10pm caffeine cutoff', has a major contradiction. The description says 'no caffeine after 10am'. This is confusing and makes the action unreliable. The other actions are good, but this is a significant error.",5,"The summary provides a very meaningful insight by highlighting the 'mismatch' between low fuel (calories/protein) and high subjective feelings (energy/mood), warning that she might be 'running on fumes'. This helps her understand the risk of a crash despite feeling good.",4,"The summary is very useful for planning, as it sets clear priorities (sleep, fuel) and warns about a potential energy crash. However, the confusing and contradictory caffeine action detracts from its overall usefulness for planning."
ec94b622-f74d-4858-ba4a-f35c9c92e1ce,2026-02-05,2026-02-04,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is clear, specific, and has a perfect coach-like tone. It masterfully connects yesterday's data (activity, nutrition, caffeine) to last night's outcomes (sleep) and this morning's feelings. The insights about the 'intense bursts followed by sitting' pattern and the user's 'serious resilience' are particularly powerful. The actions are concrete, realistic, and directly linked to the insights from the message. The only minor weakness is not explicitly stating the low confidence in nutrition data, but this does not detract from the overall high quality.",2026-05-06T19:18:26.310Z,5,"The summary was very easy to follow. It was well-structured, starting with the user's current feeling, then reviewing last night's sleep, yesterday's activity and nutrition, and mindset, before summarizing the plan for today.",5,The summary was an ideal length. It provided specific data points and meaningful interpretations without being overly long or dense for a quick morning read.,5,"The tone was excellent. It was encouraging and celebratory of wins (e.g., ""That's a big win,"" ""That's incredible"") while also providing constructive feedback in a supportive, coach-like manner.",3,"The summary did not explicitly mention the low confidence in nutrition data (0.535) or the missing goals data. It handled the nutrition data by calling it 'moderate' and 'decent', which is a soft approach, but it didn't directly communicate the uncertainty.",5,"The feedback was highly specific, using exact data points like 6.2 hours of sleep, 91.87% efficiency, 17,700 steps, and 1445 calories. The interpretations, such as the pattern of 'intense bursts followed by sitting', were also very specific to the user's data.",5,"The summary showed excellent consistency. It correctly identified that managing caffeine yesterday (a previous day's action) likely contributed to the much-improved sleep onset last night, creating a strong sense of continuity.",5,"The briefing provided four concrete and realistic actions for today: setting a screen-off reminder, adding protein to dinner, taking a movement break, and doing a breathing exercise. All are specific and low-effort.",5,"The summary provided several meaningful insights. The connection between high steps and high sedentary time as a 'bursts and sitting' pattern is very insightful, as is the interpretation of high focus/energy scores alongside 'Tense' emotions as 'serious resilience'.",5,"Overall, this summary would be extremely useful for planning the day. It provides a clear understanding of the user's current state, celebrates recent successes, and offers a targeted, actionable plan to build on momentum and address remaining challenges."
06516a8f-c688-4cf4-9bfe-42824cf511ed,2026-02-06,2026-02-05,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is clear, concise, and has an appropriate, encouraging tone. It is highly specific, using the user's data to provide meaningful insights, such as the link between yesterday's mood and overnight recovery, and the discrepancy between subjective and objective sleep. The four generated actions are concrete, realistic, and directly address the insights and goals discussed in the message, making the entire briefing a cohesive and highly actionable tool for the user.",2026-05-06T19:19:00.653Z,5,"The summary was very easy to follow. It was well-structured, starting with the user's current feeling, then reviewing last night's sleep and yesterday's data, and concluding with a focus for today.",5,The message was concise yet packed with specific data points and insights. It was an appropriate length for a quick morning read before starting the day.,5,"The tone was encouraging and coach-like, using phrases like ""that's a solid start,"" ""recovered beautifully,"" and ""protecting this momentum."" It felt supportive and data-informed.",5,The summary expertly handled uncertainty by highlighting the mismatch between subjective sleep quality (75) and objective sleep efficiency (92.34%) and then providing a specific action (journaling) to explore this gap.,5,"The feedback was highly specific, referencing exact data like ""7 hours of sleep,"" ""92% efficiency,"" ""HRV hit 111,"" and a ""late meal (around 10:30 PM)."" This level of detail makes the message feel uniquely tailored.",5,"The briefing was consistent. For example, it built upon the previous day's focus on an early wind-down by suggesting a slightly earlier time (9:00 PM vs. 9:15 PM), showing intelligent progression.",5,"The briefing provided four concrete and realistic actions for today: setting a wind-down reminder, adding protein to a meal, taking a stretch break, and journaling about sleep. All were low-effort and well-defined.",5,The summary provided a very meaningful insight by connecting the user's excellent subjective scores yesterday to the strong objective recovery signals overnight. It also highlighted the valuable discrepancy between perceived and actual sleep quality.,5,"Overall, this summary is extremely useful for day planning. It validates the user's high energy, explains the strong recovery, and provides a clear, simple, and actionable plan to maintain momentum across sleep, nutrition, and activity."
f905a2b1-b9f2-4baa-9372-e2152418e070,2026-02-07,2026-02-06,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is clear, specific, and uses all the data with correct temporal context to build a powerful and insightful narrative. The core insight—the disconnect between strong physical recovery and low subjective mood—is expertly identified and explained. The generated actions are highly relevant, specific, and directly address the issues raised in the message, making the entire briefing extremely useful and actionable.",2026-05-06T19:19:35.016Z,5,"The summary was very easy to follow. It was well-structured, starting with the overall score, then covering last night's physical recovery, followed by yesterday's emotional and behavioral state, and concluding with a clear plan for the day.",5,The summary was an appropriate length. It was detailed enough to provide meaningful insights but concise enough for a quick morning read before starting the day.,5,"The tone was supportive and insightful, like a real coach. It balanced positive reinforcement (""Last night was excellent"") with a clear-eyed view of the challenges (""The real story is in how you feel"").",4,"The summary did not need to communicate much uncertainty as most data sources had high confidence. It could have been slightly more cautious about the nutrition data, which had a confidence of 0.42, but the statement about low protein was still accurate based on the available data.",5,"The feedback was highly specific. It used precise data points (6.5 hours sleep, 92% efficiency, HRV 116, mood 16, 68g protein, 747 sedentary minutes) and identified a very specific disconnect between physical recovery and subjective mood.",5,"The summary was perfectly consistent with the provided context. It correctly interpreted sleep and HRV data from last night, and check-in, activity, and nutrition data from yesterday, creating a coherent narrative.",5,The briefing provided four concrete and realistic actions for today. Actions like 'Add a protein source to your salad lunch' and 'take a 5-minute walk' directly and actionably address the specific issues raised in the summary.,5,"The summary provided a very meaningful insight by identifying the disconnect between the user's strong physical recovery and low subjective mood. It connected this to specific behaviors like increased sedentary time and low social interaction, offering a powerful explanation for why she might not 'feel' as good as her data looks.",5,"Overall, this summary would be extremely useful for planning the day. It clearly explains the user's current state and provides a targeted set of actions to maintain sleep gains while improving mood and energy through nutrition and activity."
41879cfc-0e34-4bdc-be66-3de086cf152f,2026-02-08,2026-02-07,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is highly specific, using the user's data with perfect temporal correctness to build a coherent and insightful narrative. The identification of the subjective/objective 'gap' is a powerful insight. The message and the four associated actions are concrete, well-justified, and directly address the observations, making the entire briefing extremely useful for helping the user understand her state and plan her day effectively.",2026-05-06T19:20:08.752Z,5,"The summary was very well-structured. It started with the user's current feeling, presented excellent sleep data, introduced an interesting insight (the subjective/objective gap), and connected it to yesterday's behaviors before proposing a focus for the day.",4,"The summary is dense with information but remains scannable. While slightly long for a quick glance, every sentence adds value and is directly tied to the user's data, justifying the length.",5,"The tone is perfectly coach-like: encouraging ('crushed it'), insightful ('Here's what's interesting'), and supportive ('You've built incredible sleep consistency'). It presents observations and suggestions without being prescriptive or clinical.",4,"The summary appropriately handles uncertainty by framing suggestions as possibilities ('pulling that meal earlier could help'). It also correctly identifies the missing journal data and proposes an action to address that gap, which is a good way to handle low data confidence.",5,"The feedback is highly specific, referencing the user's 82/100 score, 4-minute sleep onset, 95% sleep efficiency, the 24-point gap, yesterday's emotions ('Happy, Tired, and Frustrated'), 13k+ steps, and the ~11:25 PM last meal. This is the opposite of generic.",5,"The summary is perfectly consistent. It correctly identifies the new mismatch between subjective feeling (82) and physiological proxy (58), noting it's the first day of this pattern. All data points from last night and yesterday are used correctly and woven into a coherent narrative.",5,"The briefing provides four concrete, low-effort, and realistic actions for today: a breathing exercise, a stretch break, setting a meal alarm, and a micro-journaling task. Each is directly justified by the insights in the morning message.",5,"The summary provides a very meaningful insight by highlighting the 24-point gap between how the user feels and what her physiological data shows. It connects this to her mixed emotions and late eating, offering a powerful hypothesis for self-reflection.",5,"This summary is extremely useful for planning the day. It validates the user's high energy while providing a nuanced perspective on her recovery, and offers a clear theme and simple, targeted actions to support her goals."
209fea50-8de0-4c1a-ab80-20c9dda398b8,2026-02-09,2026-02-08,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is highly specific, data-driven, and provides deep, actionable insights. The message masterfully connects different domains (stress, activity, sleep, nutrition) to tell a coherent story about the user's state. The proposed actions are concrete, realistic, and directly address the challenges identified in the message. Despite a very minor factual error about the duration of a trend, the overall quality, tone, and usefulness are outstanding.",2026-05-06T19:20:40.399Z,5,"The summary was very easy to follow. It was well-structured with an opening, a section on positives, a 'deeper look' at challenges, and a concluding focus for the day. Bolding key phrases helped with scannability.",5,The message was dense with information but concise enough for a quick morning read. It effectively conveyed the key points without being overly long.,5,"The tone was excellent. It was encouraging and celebratory ('fantastic way to start', 'rock-solid foundation') while also being insightful and cautiously guiding ('deeper look', 'trend to watch').",4,"The summary appropriately framed the mismatch between subjective feeling (95/100) and objective signals (stress, low activity) as something 'interesting' to pay attention to, which is a good way of handling uncertainty about the user's true state. The low nutrition confidence is noted in the constraints.",5,"The feedback was highly specific, referencing exact data points from the previous day and night: '95 this morning', 'fell asleep in just 4 minutes', '94% of the night asleep', 'HRV of 124', 'stress was elevated at 56', 'activity was minimal — only 11 minutes'.",4,"The summary was mostly consistent, but it stated the subjective/objective mismatch was a pattern for the 'third day in a row', whereas the context data indicates it is the second day of the current run ('current_mismatch_days': 2). This is a minor factual error.",5,"The briefing provided four extremely concrete and realistic actions for today: 1 minute of box breathing, a 90-second stretch break, setting a 9:00 PM eating alarm, and writing one sentence in a journal. These are all low-effort and easy to implement.",5,"The summary provided a very meaningful insight by connecting rising stress and low activity, and highlighting the disconnect between the user's high subjective score (95) and objective strain signals. This helps the user understand the importance of addressing underlying patterns even when feeling good.",5,"Overall, the summary is highly useful for planning the day. It provides a clear theme ('disrupt those stress and sedentary patterns') and offers a set of simple, targeted actions that directly support this theme and the user's goals."
92945d12-80ea-47dc-acbd-2c88d75d68b8,2026-02-10,2026-02-09,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an outstanding morning briefing. It is exceptionally clear, specific, and data-driven, correctly interpreting data from different time windows (last night's sleep, yesterday's activity/nutrition, this morning's feeling). The core insight about the gap between subjective feeling and physiological recovery is powerful and well-explained. The four proposed actions are concrete, realistic for a busy student-athlete, and directly tied to the insights from the message. The continuity from the previous day's message strengthens the coaching relationship and the relevance of the advice.",2026-05-06T19:21:16.851Z,5,"The message was very well-structured. It started with a greeting, summarized last night's sleep, presented a key insight about the user's state, connected it to yesterday's behavior, and then set a clear focus for today.",5,"The summary is information-dense but concise. It effectively communicates complex insights in a few paragraphs, making it perfect for a quick morning read before a busy day.",5,"The tone is excellent. It's encouraging and validating ('real psychological resilience') while also being direct and data-informed ('your physiology tells a different story'). It feels like a real, expert coach.",4,"The message appropriately uses cautious language like 'your body might be running a bit lean' when interpreting the combination of high activity and lower nutritional intake, which reflects the underlying data confidence (nutrition confidence 0.49).",5,"The feedback is highly specific, referencing exact data points like '4.85 hours' of sleep, the '23 points' gap between subjective and physiological scores, and the fact that this gap has persisted for 'three days now'.",5,"The summary shows strong consistency by explicitly mentioning the 'three days now' trend of the subjective-objective mismatch, which was also noted in the previous day's briefing. This continuity makes the insight more powerful.",5,"The briefing provides four concrete, realistic, and low-effort actions for today, such as adding a protein snack and taking short stretch breaks. They are specific and easy to integrate into a busy schedule.",5,The summary provides a very meaningful insight by highlighting the persistent gap between how the user feels (great) and her physiological data (lagging). This helps her understand the risk of running on fumes and the importance of physical recovery.,5,"This summary is extremely useful for day planning. It validates the user's high energy while providing a clear, actionable strategy to support her body's recovery needs, directly addressing her sleep and activity goals."
f183ffb9-721c-4353-b039-11ae71aec7b5,2026-02-11,2026-02-10,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is highly specific, using numerous data points to create a compelling and insightful narrative that connects the user's behaviors (late eating, caffeine) to her outcomes (fragmented sleep, low focus). The actions are concrete, realistic, and directly address the key insights. Despite a minor error in reporting the morning's overall score as an energy score initially (which was corrected later in the text), the overall quality, specificity, and actionability are outstanding.",2026-05-06T19:21:57.376Z,5,"The summary was very easy to follow. It was well-structured, starting with the user's subjective feeling, analyzing sleep, connecting it to behavior, and then providing a clear plan.",5,"The message was dense with information but was well-paragraphed and scannable, making it the right length for a quick but informative morning read.",5,"The tone was supportive and coach-like, using phrases like ""crushed 14k steps"" and ""real strength to lean into,"" which is appropriate and encouraging.",4,"The summary confidently presented a strong, evidence-based hypothesis about sleep, which was appropriate given the data. However, it didn't mention the moderate confidence (0.61) in the nutrition data that supported part of the hypothesis.",5,"The feedback was highly specific, using exact data points like sleep duration (5.9 hours), wake ratio (14.5%), HRV (116.5), last meal time (10:11 PM), and the energy/focus scores (95 vs 40).",5,"The summary was very consistent, referencing a four-day trend of high HRV and slipping sleep. The actions were logical follow-ups to the previous day, such as adjusting the screen-free wind-down time from 20 to 15 minutes.",5,"The briefing provided four concrete and realistic actions for today. Setting a caffeine alarm, taking a 3-minute break, and having a 15-minute wind-down are all specific and achievable.",5,The summary provided a very meaningful insight by clearly connecting the user's late eating and caffeine intake with her fragmented sleep. The observation about the large gap between her high energy (95) and low focus (40) was also very insightful.,5,"Overall, the summary would be extremely useful for planning the day. It identifies clear priorities (protecting sleep, improving focus) and provides simple, targeted strategies to address them."
4b83b676-97e1-476a-a2d5-f90f29a99a35,2026-02-12,2026-02-11,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,google/gemini-2.5-pro,judge_prompt_v1,morning_brief_rubric,v1,5,"This is an excellent morning briefing. It is clear, highly specific, and temporally correct. It masterfully synthesizes various data points (subjective scores, sleep metrics, nutrition timing, activity) to form a compelling and insightful hypothesis about the user's state. The proposed actions are directly tied to this analysis, are concrete, and are realistic for a busy student-athlete to implement today. The continuity from the previous day's actions is also noted and handled well.",2026-05-06T19:23:04.550Z,5,"The summary was logically structured, starting with this morning's feeling, connecting it to yesterday's data, analyzing sleep and behavior, and then setting a clear focus for the day.",5,"The message was concise yet packed with specific data points and insights, making it a quick and informative read.",5,"The tone is supportive and analytical, like a coach. It presents data and hypotheses without being judgmental, for example, calling the mismatch 'interesting'.",4,"The summary appropriately uses cautious language like 'might be contributing' when presenting its main hypothesis, which is a good way to handle the complexity of behavior and feeling.",5,"The feedback is highly specific, referencing exact data points like '5.05 hours of sleep', 'HRV was very strong at 141ms', 'caffeine at 10:58 PM', and the subjective scores of 42, 37, and 85.",5,"The summary is highly consistent. It correctly identifies that the user had late caffeine yesterday (10:58 PM), which was a failure of a suggested action from the previous day, and appropriately re-addresses the issue.",5,"The briefing provides four concrete and realistic actions for today: setting a caffeine alarm, planning an earlier dinner, taking a breathing reset, and a micro-journaling exercise.",5,"The summary provides a very meaningful insight: the disconnect between strong physiological recovery (high HRV, good sleep efficiency) and poor subjective feelings (low energy/focus), and links it to a specific behavior (late food/caffeine).",5,"This summary is extremely useful for planning. It provides a clear theme for the day ('protecting your energy by managing timing cues') and offers specific, actionable steps to achieve it."
