morning_briefing_id,brief_date,source_local_date,timezone,user_id,candidate_model,candidate_prompt_version,bundle_version,state_version,judge_model,judge_prompt_version,rubric_id,rubric_version,overall_score,overall_rationale,judged_at,clarity_easy_to_follow_score,clarity_easy_to_follow_rationale,clarity_right_length_score,clarity_right_length_rationale,clarity_tone_appropriate_score,clarity_tone_appropriate_rationale,relevance_uncertainty_communicated_score,relevance_uncertainty_communicated_rationale,relevance_specific_not_generic_score,relevance_specific_not_generic_rationale,relevance_consistent_with_recent_context_score,relevance_consistent_with_recent_context_rationale,usefulness_concrete_action_score,usefulness_concrete_action_rationale,usefulness_meaningful_understanding_score,usefulness_meaningful_understanding_rationale,usefulness_day_planning_score,usefulness_day_planning_rationale
2a19fb9a-6fa6-4d79-a3b5-68b94666d46d,2026-02-03,2026-02-02,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly tailored to the user's recent data and context. It communicates uncertainty, provides meaningful insight, and offers realistic, actionable steps for the day. All rubric criteria are fully met.",2026-05-06T18:31:28.652Z,5,"The morning message is well-structured, clearly segmented, and the actions are presented with concise titles and descriptions. The flow from summary to actions is logical and easy to follow.",5,"The briefing is detailed but remains within a reasonable length for a morning read. The message is succinct, and the actions are brief and actionable.",5,"The tone is supportive, motivational, and coach-like, which matches the user's context as a student-athlete seeking improvement.",5,"The message explicitly notes uncertainty and missing data (e.g., 'Missing journal data limits context for emotional state', 'Low nutrition confidence'), and risk flags are surfaced.",5,"Feedback is highly specific: it references exact sleep hours, protein grams, step counts, and even the timing of meals and caffeine. Actions are tailored to the user's recent data and trends.",5,"The summary and actions are consistent with the previous day's context and trends (e.g., continued focus on sleep timing, protein intake, and stress management). No contradictions are present.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing (e.g., breathing reset, protein snack, post-lunch walk, meal/caffeine cutoff).",5,"The briefing helps the user understand the mismatch between subjective feeling and physiological signals, highlights specific risks (e.g., stress, nutrition), and explains why these matter.",5,"The summary and actions together provide a clear, actionable plan for the day, addressing both immediate and longer-term goals (energy, stress, sleep consistency)."
67a527d7-2f3d-4ee4-98aa-576f83aa6a7e,2026-02-04,2026-02-03,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly specific to the user's recent data and context. It communicates uncertainty where appropriate, provides meaningful insight into the user's current state, and offers realistic, actionable steps for the day. The temporal alignment is correct throughout, and the plan is well-suited to help the user plan and execute a healthier, more balanced day.",2026-05-06T18:31:37.737Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, motivating, and appropriately acknowledges both strengths and areas for improvement.",5,"The message explicitly notes low nutrition data confidence and mentions that nutrition logging is approximate, appropriately communicating uncertainty.",5,"Feedback is highly specific: it references exact sleep duration, efficiency, HRV, protein and calorie intake, and even the timing of caffeine. Actions are tailored to these specifics.",5,"The summary is consistent with the previous day's context, referencing trends (e.g., sleep debt, nutrition gaps, sedentary time) and does not contradict prior feedback.",5,"There are four concrete, realistic actions for today, each mapped to a specific time and domain (e.g., caffeine cutoff, protein snack, walk, wind-down routine).",5,"The briefing helps the user understand the mismatch between high subjective energy/mood and objective sleep/nutrition deficits, and highlights the risk of these catching up later.",5,"The summary and actions together provide a clear, actionable plan for the day, addressing both immediate risks and longer-term goals."
ec94b622-f74d-4858-ba4a-f35c9c92e1ce,2026-02-05,2026-02-04,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly personalized, with actionable steps that are realistic for the user's day. It accurately interprets yesterday's and last night's data, communicates relevant uncertainties, and provides meaningful, context-aware guidance for today.",2026-05-06T18:31:45.256Z,5,"The summary is logically structured, with clear transitions between yesterday's activity, last night's sleep, and this morning's state. Each action is described in simple, actionable language.",5,"The message is concise but thorough, covering all relevant domains without being overwhelming. The actions are brief and to the point.",5,"The tone is supportive, motivational, and appropriately acknowledges both strengths and areas for improvement.",4,"The summary references low nutrition data confidence and missing goals data, but could be slightly more explicit about how this might affect recommendations.",5,"Feedback is highly specific: it references exact sleep onset time, step count, sedentary minutes, protein/calorie intake, and emotional states. Actions are tailored to these specifics.",5,"The summary and actions are consistent with the previous day's context, showing logical progression (e.g., improved sleep onset, ongoing sedentary trend, protein intake recovery).",5,"There are four concrete, realistic actions for today, each with clear instructions and timing.",5,"The summary helps the user understand the interplay between high activity, sedentary periods, nutrition gaps, and emotional resilience, providing meaningful insight into her current state.",5,"The briefing and actions together provide a clear, actionable plan for the day, addressing both immediate needs (movement, nutrition) and longer-term goals (sleep schedule)."
06516a8f-c688-4cf4-9bfe-42824cf511ed,2026-02-06,2026-02-05,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly relevant to the user's context and goals. It addresses both strengths and areas for attention, communicates uncertainty, and provides specific, realistic actions for the day. The temporal alignment is correct throughout, and the feedback is actionable and motivating.",2026-05-06T18:31:52.386Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, motivating, and appropriately coach-like for a student-athlete.",5,"Uncertainty is explicitly addressed, especially regarding nutrition data confidence and missingness, and the summary notes that late eating hasn't yet impacted sleep but is worth monitoring.",5,"Feedback is highly specific: it references exact sleep times, efficiency, HRV, meal timing, calorie/protein gaps, and even subjective/objective mismatches.",5,"The summary builds directly on the previous day's context, referencing trends and changes (e.g., earlier sleep onset, nutrition gaps, activity trends) without contradiction.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing.",5,"The briefing helps the user understand her current state, highlighting the alignment between subjective and objective recovery, and areas to watch (late eating, calorie gap, activity trends).",5,"The summary and actions together provide a clear, actionable plan for the day, supporting both immediate and longer-term goals."
f905a2b1-b9f2-4baa-9372-e2152418e070,2026-02-07,2026-02-06,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is clear, specific, and actionable. It accurately interprets yesterday's and last night's data, highlights a meaningful disconnect between physical and mental state, and provides realistic, well-timed actions for today. Minor improvement could be made in explicitly stating the impact of missing journal data, but overall, this is an exemplary briefing for the user's context and goals.",2026-05-06T18:31:59.307Z,5,"The morning message is well-structured, uses clear headings, and the actions are concise and easy to understand.",5,"The summary is detailed but remains brief enough for a quick morning read, and the actions are succinct.",5,"The tone is supportive, constructive, and coach-like, matching the user's context and needs.",4,"The message references low nutrition logging confidence and missingness, but could be slightly more explicit about the impact of missing journal data.",5,"Feedback is highly specific: it references exact scores, trends, and yesterday's meals and activities, and the actions are tailored to the user's real data.",5,"The summary is consistent with the previous day's context, accurately reflecting changes in mood, activity, and nutrition.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing.",5,"The summary highlights the disconnect between physical recovery and subjective mood, providing meaningful insight into the user's current state.",5,"The briefing and actions together provide a clear, actionable plan for the day, addressing both physical and mental wellbeing."
41879cfc-0e34-4bdc-be66-3de086cf152f,2026-02-08,2026-02-07,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and appropriately toned; it communicates uncertainty where relevant; it is highly specific and consistent with recent context; and it provides multiple concrete, realistic actions that directly support the user's goals and day planning. The user receives meaningful insight into her current state and actionable steps for the day.",2026-05-06T18:32:05.310Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, encouraging, and appropriately coach-like for a student-athlete.",5,"The message explicitly notes missing journal data and low nutrition confidence, communicating uncertainty and data gaps transparently.",5,"Feedback is highly specific: it references exact sleep onset time, efficiency, HRV, step count, meal timing, and emotional states, and the actions are tailored to the user's recent data.",5,"The summary builds on the previous day's context (e.g., sleep consistency, activity, nutrition gaps) and does not contradict prior feedback.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing.",5,"The briefing helps the user understand the mismatch between subjective and physiological recovery, the impact of late eating, and the importance of evening routines.",5,"The summary and actions together provide a clear, actionable plan for the day, supporting both immediate and longer-term goals."
209fea50-8de0-4c1a-ab80-20c9dda398b8,2026-02-09,2026-02-08,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly tailored to the user's recent data and context. It communicates uncertainty, provides meaningful insight, and offers realistic, actionable steps for the day. All rubric criteria are fully met.",2026-05-06T18:32:11.666Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, motivational, and appropriately balanced between encouragement and constructive feedback.",5,"The message explicitly notes uncertainty and missingness (e.g., journal data, nutrition confidence), and addresses subjective-objective mismatches.",5,"Feedback is highly specific: it references exact sleep onset, HRV, stress and activity scores, and even meal times. Actions are tailored to the user's recent data.",5,"The summary builds on the previous day's context (e.g., ongoing late eating, stress/activity trends) and does not contradict prior feedback.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing.",5,"The briefing helps the user understand the interplay between subjective feelings and objective signals, and highlights actionable trends (e.g., stress/activity feedback loop, late eating).",5,"The briefing and actions together provide a clear, actionable plan for the day, addressing both immediate and longer-term goals."
92945d12-80ea-47dc-acbd-2c88d75d68b8,2026-02-10,2026-02-09,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and appropriately toned; it communicates uncertainty; it is highly specific and consistent with recent context; and it provides realistic, actionable steps that directly address the user's goals and current state. It would be highly useful for day planning.",2026-05-06T18:32:17.949Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, motivational, and coach-like, which is appropriate for a student-athlete seeking improvement.",5,"The message references low data confidence and missing goals, directly acknowledging uncertainty in the nutrition and goal-tracking data.",5,"Feedback is highly specific: it references exact sleep duration, efficiency, subjective/objective score gaps, nutrition trends, and even meal details.",5,"The summary is consistent with the previous day's context, referencing the ongoing subjective/objective mismatch and building on recent trends.",5,"There are four concrete, realistic actions for today, each with clear timing and rationale, tailored to the user's constraints and context.",5,"The briefing helps the user understand the gap between how she feels and her physiological recovery, as well as the risks of running a 'lean tank.'",5,"The summary and actions together provide a clear, actionable plan for the day, balancing energy, nutrition, activity, and sleep."
f183ffb9-721c-4353-b039-11ae71aec7b5,2026-02-11,2026-02-10,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly tailored to the user's recent data and goals. It communicates uncertainty where appropriate, provides meaningful insight into the user's current state, and offers realistic, actionable steps for the day. All rubric criteria are fully met.",2026-05-06T18:32:29.718Z,5,"The morning message is well-structured, uses clear language, and the actions are presented in a straightforward, actionable format.",5,"The summary is concise but thorough, providing enough detail for context without being overwhelming for a morning read.",5,"The tone is supportive, energetic, and coach-like, matching the user's context as a student-athlete.",5,"The message explicitly notes moderate uncertainty in nutrition logging and journal missingness, showing appropriate communication of data gaps.",5,"Feedback is highly specific: it references exact sleep stats, timing of caffeine and meals, and the user's unique energy/focus gap.",5,"The summary builds on the previous day's context (sleep debt, energy/focus mismatch, late eating/caffeine) and does not contradict prior feedback.",5,"There are four concrete, realistic actions for today, each clearly tied to the user's current state and feasible within her schedule.",5,"The briefing helps the user understand the disconnect between high energy and low focus, the impact of late caffeine/eating, and the importance of sleep boundaries.",5,"The summary and actions together provide a clear, actionable plan for the day, directly supporting the user's goals and constraints."
4b83b676-97e1-476a-a2d5-f90f29a99a35,2026-02-12,2026-02-11,Asia/Dubai,bf8434ee-b495-4da4-96d0-d919c5b4a957,deepseek/deepseek-v3.2,v3,v1,v1,openai/gpt-4.1,judge_prompt_v1,morning_brief_rubric,v1,5,"This morning briefing is exemplary: it is clear, concise, and highly specific to the user's recent data and context. It communicates uncertainty where appropriate, provides actionable and realistic steps for the day, and meaningfully interprets the user's current state. The actions are feasible and well-timed, and the summary would be genuinely useful for planning the day.",2026-05-06T18:32:46.713Z,5,"The morning message is well-structured, clearly explains the user's recent data, and the actions are presented with concise, actionable descriptions.",5,"The briefing is detailed but remains within a reasonable length for a morning read, balancing context and brevity.",5,"The tone is supportive, direct, and coach-like, matching the user's preferences and the context of a student-athlete.",5,"The message explicitly notes uncertainty in nutrition data and journal missingness, and actions reference these uncertainties appropriately.",5,"Feedback is highly specific: it references exact times for caffeine and meals, precise sleep and activity metrics, and the user's subjective-objective mismatch.",5,"The summary is consistent with the previous day's context, referencing ongoing issues (late caffeine, late meals, energy/focus gap) and building on prior recommendations.",5,"There are four concrete, realistic actions for today, each with clear instructions and timing (e.g., set a 2pm caffeine alarm, plan dinner by 7:30pm, take a 4-min break, write a bedtime reflection).",5,"The briefing helps the user understand the disconnect between physical recovery and perceived energy, and how late timing of food/caffeine may be affecting her.",5,"The summary and actions together provide a clear, actionable plan for the day, directly addressing the user's goals and current challenges."
